16:02:03,108 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=183 ms, enhance=99 ms, total=282 ms. Consult the log for full details
16:02:43,042 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
16:02:43,652 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.0.0.m4) : Enhancement of classes
16:02:43,707 (main) INFO  [DataNucleus.MetaData] - Not found any metadata mapping files for resource name META-INF/orm.xml in CLASSPATH
16:02:43,825 (main) INFO  [DataNucleus.MetaData] - Class "com.zhang.Model.Person" has been specified with JDO annotations so using those.
16:02:43,979 (main) INFO  [DataNucleus.Enhancer] - Class "com.zhang.Model.Person" is already enhanced.
16:02:43,980 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=242 ms, enhance=77 ms, total=319 ms. Consult the log for full details
16:03:11,335 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
16:03:11,961 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.0.0.m4) : Enhancement of classes
16:03:12,016 (main) INFO  [DataNucleus.MetaData] - Not found any metadata mapping files for resource name META-INF/orm.xml in CLASSPATH
16:03:12,181 (main) INFO  [DataNucleus.MetaData] - Class "com.zhang.Model.Person" has been specified with JDO annotations so using those.
16:03:12,307 (main) INFO  [DataNucleus.Enhancer] - Class "com.zhang.Model.Person" is already enhanced.
16:03:12,308 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=275 ms, enhance=62 ms, total=337 ms. Consult the log for full details
16:03:21,273 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
16:03:21,744 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.0.0.m4) : Enhancement of classes
16:03:21,800 (main) INFO  [DataNucleus.MetaData] - Not found any metadata mapping files for resource name META-INF/orm.xml in CLASSPATH
16:03:21,908 (main) INFO  [DataNucleus.MetaData] - Class "com.zhang.Model.Person" has been specified with JDO annotations so using those.
16:03:22,062 (main) INFO  [DataNucleus.Enhancer] - Class "com.zhang.Model.Person" is already enhanced.
16:03:22,063 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=235 ms, enhance=76 ms, total=311 ms. Consult the log for full details
16:04:20,582 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
16:04:21,202 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.0.0.m4) : Enhancement of classes
16:04:21,269 (main) INFO  [DataNucleus.MetaData] - Not found any metadata mapping files for resource name META-INF/orm.xml in CLASSPATH
16:04:21,458 (main) INFO  [DataNucleus.MetaData] - Class "com.zhang.Model.Person" has been specified with JDO annotations so using those.
16:04:21,606 (main) INFO  [DataNucleus.Enhancer] - Class "com.zhang.Model.Person" is already enhanced.
16:04:21,607 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=324 ms, enhance=73 ms, total=397 ms. Consult the log for full details
16:04:37,727 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
16:04:38,645 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.0.0.m4) : Enhancement of classes
16:04:38,735 (main) INFO  [DataNucleus.MetaData] - Not found any metadata mapping files for resource name META-INF/orm.xml in CLASSPATH
16:04:38,920 (main) INFO  [DataNucleus.MetaData] - Class "com.zhang.Model.Person" has been specified with JDO annotations so using those.
16:04:39,195 (main) INFO  [DataNucleus.Enhancer] - Class "com.zhang.Model.Person" is already enhanced.
16:04:39,197 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=430 ms, enhance=110 ms, total=540 ms. Consult the log for full details
16:04:48,505 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
16:04:49,166 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.0.0.m4) : Enhancement of classes
16:04:49,209 (main) INFO  [DataNucleus.MetaData] - Not found any metadata mapping files for resource name META-INF/orm.xml in CLASSPATH
16:04:49,305 (main) INFO  [DataNucleus.MetaData] - Class "com.zhang.Model.Person" has been specified with JDO annotations so using those.
16:04:49,436 (main) INFO  [DataNucleus.Enhancer] - Class "com.zhang.Model.Person" is already enhanced.
16:04:49,436 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=201 ms, enhance=62 ms, total=263 ms. Consult the log for full details
16:05:31,722 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
16:05:32,275 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.0.0.m4) : Enhancement of classes
16:05:32,326 (main) INFO  [DataNucleus.MetaData] - Not found any metadata mapping files for resource name META-INF/orm.xml in CLASSPATH
16:05:32,464 (main) INFO  [DataNucleus.MetaData] - Class "com.zhang.Model.Person" has been specified with JDO annotations so using those.
16:05:32,650 (main) INFO  [DataNucleus.Enhancer] - Class "com.zhang.Model.Person" is already enhanced.
16:05:32,650 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=277 ms, enhance=90 ms, total=367 ms. Consult the log for full details
16:05:33,800 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
16:05:34,426 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.0.0.m4) : Enhancement of classes
16:05:34,492 (main) INFO  [DataNucleus.MetaData] - Not found any metadata mapping files for resource name META-INF/orm.xml in CLASSPATH
16:05:34,616 (main) INFO  [DataNucleus.MetaData] - Class "com.zhang.Model.Person" has been specified with JDO annotations so using those.
16:05:34,788 (main) INFO  [DataNucleus.Enhancer] - Class "com.zhang.Model.Person" is already enhanced.
16:05:34,789 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=256 ms, enhance=99 ms, total=355 ms. Consult the log for full details
16:05:53,816 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
16:05:54,605 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.0.0.m4) : Enhancement of classes
16:05:54,668 (main) INFO  [DataNucleus.MetaData] - Not found any metadata mapping files for resource name META-INF/orm.xml in CLASSPATH
16:05:54,805 (main) INFO  [DataNucleus.MetaData] - Class "com.zhang.Model.Person" has been specified with JDO annotations so using those.
16:05:54,991 (main) INFO  [DataNucleus.Enhancer] - Class "com.zhang.Model.Person" is already enhanced.
16:05:54,992 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=273 ms, enhance=105 ms, total=378 ms. Consult the log for full details
16:05:56,039 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
16:05:56,580 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.0.0.m4) : Enhancement of classes
16:05:56,623 (main) INFO  [DataNucleus.MetaData] - Not found any metadata mapping files for resource name META-INF/orm.xml in CLASSPATH
16:05:56,747 (main) INFO  [DataNucleus.MetaData] - Class "com.zhang.Model.Person" has been specified with JDO annotations so using those.
16:05:56,911 (main) INFO  [DataNucleus.Enhancer] - Class "com.zhang.Model.Person" is already enhanced.
16:05:56,911 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=256 ms, enhance=69 ms, total=325 ms. Consult the log for full details
16:05:56,962 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
16:05:57,350 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.0.0.m4) : Enhancement of classes
16:05:57,385 (main) INFO  [DataNucleus.MetaData] - Not found any metadata mapping files for resource name META-INF/orm.xml in CLASSPATH
16:05:57,464 (main) INFO  [DataNucleus.MetaData] - Class "com.zhang.Model.Person" has been specified with JDO annotations so using those.
16:05:57,575 (main) INFO  [DataNucleus.Enhancer] - Class "com.zhang.Model.Person" is already enhanced.
16:05:57,575 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=171 ms, enhance=49 ms, total=220 ms. Consult the log for full details
16:06:09,266 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
16:06:09,945 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.0.0.m4) : Enhancement of classes
16:06:10,005 (main) INFO  [DataNucleus.MetaData] - Not found any metadata mapping files for resource name META-INF/orm.xml in CLASSPATH
16:06:10,146 (main) INFO  [DataNucleus.MetaData] - Class "com.zhang.Model.Person" has been specified with JDO annotations so using those.
16:06:10,288 (main) INFO  [DataNucleus.Enhancer] - Class "com.zhang.Model.Person" is already enhanced.
16:06:10,288 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=266 ms, enhance=69 ms, total=335 ms. Consult the log for full details
16:06:11,098 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
16:06:11,576 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.0.0.m4) : Enhancement of classes
16:06:11,628 (main) INFO  [DataNucleus.MetaData] - Not found any metadata mapping files for resource name META-INF/orm.xml in CLASSPATH
16:06:11,723 (main) INFO  [DataNucleus.MetaData] - Class "com.zhang.Model.Person" has been specified with JDO annotations so using those.
16:06:11,855 (main) INFO  [DataNucleus.Enhancer] - Class "com.zhang.Model.Person" is already enhanced.
16:06:11,855 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 1 classes. Timings : input=211 ms, enhance=62 ms, total=273 ms. Consult the log for full details
16:08:26,960 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer : Using ClassEnhancer "ASM" for API "JDO"
16:08:27,609 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.0.0.m4) : Enhancement of classes
16:08:27,663 (main) INFO  [DataNucleus.MetaData] - Not found any metadata mapping files for resource name META-INF/orm.xml in CLASSPATH
